unique_id,status,thread_id,execution_time,adapter_response,relation_name,start_time,end_time,model_id,thread,execution_time_sec
,success,,,OK,DB_DLK_INTMERCDB.dbo.brz_escolas_bilingue,2024-11-08 15:12:03.323743+00:00,2024-11-08 15:12:04.096214+00:00,model.my_dbt_project.brz_escolas_bilingue,Thread-1 (worker),0.7752971649169922
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 15:12:04.102097+00:00,2024-11-08 15:12:04.529757+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.4296562671661377
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-08 15:12:04.534752+00:00,2024-11-08 15:12:04.855885+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3238015174865722
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 15:12:04.862557+00:00,2024-11-08 15:12:05.176789+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3162353038787842
,success,,,OK,DB_DLK_INTMERCDB.dbo.brz_escolas_bilingue,2024-11-08 17:42:30.519480+00:00,2024-11-08 17:42:31.368588+00:00,model.my_dbt_project.brz_escolas_bilingue,Thread-1 (worker),0.8521082401275635
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 17:42:31.376588+00:00,2024-11-08 17:42:31.813382+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.438793420791626
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-08 17:42:31.821381+00:00,2024-11-08 17:42:32.203085+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.385617733001709
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 17:42:32.215000+00:00,2024-11-08 17:42:32.595984+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3859694004058838
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 19:52:36.384801+00:00,2024-11-08 19:52:37.278408+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8956010341644287
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-08 19:52:37.285407+00:00,2024-11-08 19:52:37.617075+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3347084522247314
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-08 19:52:37.625169+00:00,2024-11-08 19:52:37.970148+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3479542732238769
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 19:52:37.978072+00:00,2024-11-08 19:52:38.301600+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.326528787612915
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 20:05:49.388380+00:00,2024-11-08 20:05:50.284690+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8972651958465576
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-08 20:05:50.290943+00:00,2024-11-08 20:05:50.628936+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.339996337890625
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-08 20:05:50.634938+00:00,2024-11-08 20:05:51.006104+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3731660842895508
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-08 20:05:51.012103+00:00,2024-11-08 20:05:51.347366+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3372573852539062
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-08 20:15:07.370062+00:00,2024-11-08 20:15:08.251491+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8845357894897461
